word,count
museum,13
change,13
##tic,13
months,13
##mi,13
ba,13
committee,13
prime,13
1985,13
scene,13
rugby,13
hockey,13
lord,13
room,13
2002,13
sir,13
marine,13
railway,13
pu,13
capacity,13
cu,13
uses,12
open,12
canadian,12
rec,12
scenes,12
1996,12
friends,12
spent,12
sales,12
##ity,12
##ham,12
##ko,12
term,12
goal,12
stand,12
study,12
related,12
##ation,12
tree,12
rap,12
47,12
troops,12
india,12
empire,12
fruit,12
companies,12
charles,12
presented,12
whether,12
successful,12
appointed,12
regiment,12
services,12
##ni,12
upper,12
der,12
19th,12
##ig,12
conditions,12
directed,12
either,12
##ier,12
relief,12
fine,12
average,12
remains,12
olympics,12
##se,12
##0,12
trade,12
lower,12
units,12
twenty,12
taken,12
branch,12
command,12
management,12
situation,12
experience,12
bring,12
bu,12
primary,12
forward,12
behind,12
meeting,12
##ki,12
imperial,12
##od,12
##ized,12
ordered,12
37,12
board,12
su,12
minutes,12
innings,12
nearly,12
##ja,12
mountain,12
##age,12
almost,12
process,12
share,12
source,12
kilometres,12
capital,12
cap,12
thus,12
initially,12
social,12
standard,12
##ve,12
key,12
available,12
2016,12
means,12
chris,12
2004,12
iii,12
listed,12
1980,12
material,12
events,12
person,12
novel,12
physical,12
bc,12
earned,12
##za,12
##ech,12
athletes,12
tr,12
para,12
##rc,12
1913,12
follows,12
raised,11
fall,11
saying,11
80,11
##ft,11
quarter,11
tournament,11
chi,11
peak,11
cyclone,11
winds,11
machine,11
nearby,11
living,11
jones,11
plays,11
##mp,11
start,11
##ll,11
##tin,11
##pl,11
operation,11
close,11
figures,11
franchise,11
ste,11
limited,11
laws,11
executive,11
##at,11
response,11
fully,11
arrived,11
lieutenant,11
formula,11
significant,11
wanted,11
tom,11
longer,11
artist,11
provide,11
media,11
rain,11
need,11
federal,11
carried,11
##gs,11
bi,11
usually,11
lyrics,11
selected,11
god,11
peaked,11
better,11
felt,11
constitution,11
justice,11
words,11
sp,11
ki,11
entire,11
russian,11
experienced,11
bishop,11
##om,11
defeat,11
double,11
move,11
commander,11
victoria,11
programme,11
greater,11
ball,11
poem,11
angeles,11
debut,11
temple,11
example,11
bank,11
rep,11
prince,11
girl,11
table,11
accepted,11
therefore,11
1992,11
structure,11
##ment,11
bill,11
hu,11
1912,11
length,11
deep,11
forest,11
issue,11
trans,11
sets,11
suffered,11
entered,11
minor,11
duke,11
mary,11
pieces,11
stations,11
moon,11
mainly,11
texas,11
cultural,11
corps,11
inter,11
##est,11
lee,11
##yl,11
brought,11
shortly,11
terms,11
atlantic,11
planned,11
market,11
sports,11
##ot,11
mac,11
arm,11
##ps,11
joseph,11
13th,11
bar,11
##ty,11
advance,11
pressure,11
becoming,11
##cha,11
channel,11
hip,11
boston,11
language,11
claimed,11
mas,11
##el,11
##ies,11
##ate,11
1943,11
assembly,10
recording,10
styles,10
1997,10
engine,10
snow,10
lived,10
##lb,10
selling,10
student,10
speed,10
starting,10
golden,10
400,10
##me,10
district,10
subject,10
initial,10
ed,10
col,10
global,10
largely,10
submarine,10
##lot,10
contemporary,10
tradition,10
45,10
shiva,10
1965,10
##ner,10
resulted,10
comedy,10
additional,10
opera,10
writer,10
imp,10
##ens,10
pl,10
missed,10
##un,10
friend,10
wilson,10
##ish,10
fr,10
create,10
44,10
nominated,10
##tan,10
portion,10
34,10
ray,10
##ru,10
par,10
##si,10
fuel,10
ph,10
review,10
score,10
peter,10
bow,10
africa,10
reaching,10
31,10
calls,10
mar,10
studied,10
serving,10
remaining,10
em,10
parliament,10
majority,10
producer,10
1957,10
ill,10
plans,10
walk,10
operated,10
camp,10
husband,10
heat,10
performances,10
equipment,10
charity,10
earth,10
founder,10
1939,10
rome,10
inside,10
ahead,10
audience,10
artists,10
ku,10
italian,10
changes,10
prevent,10
size,10
engineering,10
studies,10
founded,10
bass,10
##cu,10
meaning,10
tara,10
future,10
produce,10
secret,10
38,10
1984,10
1999,10
sources,10
data,10
weight,10
fell,10
moore,10
morning,10
retired,10
popular,10
arts,10
classification,10
scotland,10
##do,10
supported,10
degree,10
pr,10
##ck,10
##ng,10
comics,10
ace,10
##ad,10
conference,10
li,10
variety,10
body,10
put,10
electric,10
##ul,10
edition,10
build,10
es,10
ge,10
1990,10
historical,10
enough,10
##ns,10
needed,10
evidence,10
bbc,10
voice,10
stephen,10
edward,10
boats,10
oxford,10
baseball,10
picture,10
bat,10
edge,10
current,10
sport,10
##ca,10
child,10
food,10
##ive,10
trees,10
bad,10
israel,10
##jo,10
unit,10
sal,10
gu,10
za,10
episodes,9
##tro,9
##ten,9
industry,9
section,9
sixth,9
kill,9
studio,9
report,9
ur,9
cal,9
maximum,9
ali,9
contrast,9
genre,9
emotional,9
coach,9
question,9
1991,9
parts,9
frequently,9
mixed,9
guest,9
allowing,9
path,9
surface,9
32,9
scottish,9
1990s,9
publishing,9
pan,9
cha,9
ri,9
forms,9
cases,9
jack,9
mr,9
gross,9
separate,9
300,9
##land,9
pay,9
failed,9
italy,9
sm,9
previously,9
43,9
42,9
strength,9
americans,9
attempt,9
developing,9
champion,9
fox,9
chosen,9
signed,9
declared,9
##vo,9
find,9
desire,9
pass,9
reception,9
##to,9
unique,9
individual,9
beach,9
steam,9
true,9
equipped,9
ny,9
stages,9
pi,9
distribution,9
ken,9
reviews,9
critics,9
basic,9
madonna,9
si,9
reunion,9
copies,9
pal,9
boys,9
weather,9
zealand,9
im,9
asia,9
combined,9
1987,9
health,9
participated,9
officials,9
maryland,9
##ama,9
cars,9
walls,9
regarded,9
cause,9
granted,9
issued,9
roman,9
decision,9
levels,9
climate,9
##bra,9
##no,9
crown,9
va,9
supreme,9
fu,9
things,9
launch,9
cruiser,9
1938,9
leave,9
##ace,9
achieved,9
##ys,9
told,9
difficult,9
##line,9
currently,9
little,9
adopted,9
##fer,9
colonial,9
headquarters,9
##lu,9
disc,9
##zi,9
province,9
bra,9
48,9
officer,9
sign,9
guard,9
##fi,9
especially,9
category,9
draft,9
henry,9
reference,9
revolution,9
stories,9
dated,9
##hl,9
confirmed,9
balance,9
trust,9
1931,9
composition,9
jim,9
pair,9
##lia,9
authority,9
ep,9
professional,9
1932,9
##ong,9
singer,9
##ks,9
smaller,9
direct,9
protection,9
wounded,9
complete,9
tech,9
think,9
rail,9
financial,9
activities,9
##tes,9
##wa,9
box,9
williams,9
retained,9
ta,9
soviet,9
defeated,9
architecture,9
inspired,9
##ness,9
1950s,9
##uk,9
na,9
commercial,9
##dale,9
mt,9
organization,9
truth,9
affair,9
des,9
##ius,9
contract,9
greek,9
youth,9
conducted,9
glasgow,9
hands,9
actions,9
distance,9
nation,9
powerful,9
communist,9
scoring,9
##ub,9
stock,9
##les,9
passed,9
champions,9
##q,9
##tor,9
animated,8
credits,8
##hip,8
rule,8
opinion,8
1974,8
temperatures,8
53,8
unable,8
rejected,8
treatment,8
leaders,8
ancient,8
##pi,8
occurred,8
mouth,8
##ph,8
animals,8
families,8
adding,8
thought,8
extended,8
removed,8
cold,8
chance,8
minute,8
campus,8
75,8
traffic,8
article,8
1956,8
##bit,8
ab,8
territory,8
wwe,8
74,8
torpedo,8
##ful,8
acting,8
really,8
something,8
cho,8
vo,8
missing,8
96,8
pri,8
39,8
brad,8
leg,8
argued,8
alternative,8
demo,8
tape,8
andrew,8
stanley,8
standing,8
kings,8
purchase,8
view,8
providing,8
##id,8
##ally,8
attacks,8
transferred,8
##sh,8
var,8
except,8
cannot,8
changed,8
##ting,8
access,8
powers,8
movie,8
guy,8
entertainment,8
materials,8
critical,8
rating,8
rare,8
types,8
sequence,8
stop,8
1988,8
##ley,8
billboard,8
charts,8
grew,8
call,8
gang,8
miami,8
jersey,8
institute,8
provides,8
joint,8
boat,8
jesus,8
references,8
christmas,8
ap,8
crossing,8
trying,8
##mur,8
##ap,8
charge,8
journey,8
rapid,8
marked,8
lack,8
derived,8
bowl,8
tall,8
visit,8
transport,8
inch,8
76,8
inches,8
approach,8
flight,8
train,8
column,8
appear,8
gill,8
byzantine,8
zu,8
mean,8
fit,8
1936,8
honours,8
finally,8
piano,8
sister,8
elizabeth,8
coronation,8
come,8
races,8
location,8
managed,8
norway,8
themes,8
cd,8
##fu,8
greatest,8
bart,8
bruce,8
civil,8
arms,8
conflict,8
##ny,8
seventh,8
technology,8
legal,8
students,8
##gar,8
giant,8
paid,8
informed,8
letters,8
scale,8
taylor,8
##ulo,8
blood,8
raise,8
weapons,8
straight,8
couple,8
bombers,8
operational,8
naval,8
winners,8
tri,8
murray,8
##ea,8
85,8
##dar,8
##ei,8
##ica,8
politics,8
manchester,8
urban,8
active,8
##men,8
francis,8
damaged,8
restoration,8
eu,8
##yne,8
08,8
##rt,8
##met,8
mer,8
designs,8
prior,8
grounds,8
mental,8
agricultural,8
ocean,8
votes,8
brief,8
combat,8
flying,8
##hn,8
attempted,8
sv,8
assigned,8
##ee,8
consisted,8
houses,8
mono,8
moving,8
1986,8
##af,8
foundation,8
kg,8
150,8
scientific,8
##he,8
ham,8
industrial,8
lane,8
descent,8
md,8
places,8
dedicated,8
subsequent,8
xi,8
famous,8
##ril,8
##ura,8
jackson,8
commissioned,8
involvement,8
injury,8
eli,8
##ous,8
manager,8
planning,8
##ls,8
##don,8
crew,8
status,8
census,8
ty,8
buffalo,8
expansion,8
##α,8
border,8
ministry,8
reason,8
matter,8
##ti,8
##lis,8
importance,8
ban,8
discovery,8
tag,8
bees,8
th,8
##yn,8
davis,8
sessions,8
##ath,8
experiment,8
##ga,8
weapon,8
account,8
republican,8
##hi,8
presidential,8
property,8
academic,8
er,8
1963,8
martin,8
soldiers,8
programs,8
med,8
annually,7
mal,7
##ts,7
ron,7
sex,7
fight,7
honour,7
organized,7
smith,7
officers,7
powered,7
clear,7
approximately,7
unknown,7
phone,7
continue,7
complex,7
jason,7
defined,7
##ci,7
nations,7
bench,7
cities,7
cost,7
replace,7
gray,7
interchange,7
2nd,7
join,7
cell,7
daniel,7
1944,7
actor,7
lan,7
master,7
##ler,7
##dy,7
unlike,7
core,7
volume,7
def,7
prisoner,7
exchange,7
fort,7
mount,7
dropped,7
spin,7
product,7
offered,7
destroyed,7
analysis,7
closely,7
amount,7
murder,7
invasion,7
agreement,7
spirit,7
wave,7
positions,7
revolt,7
1923,7
faced,7
numerous,7
heart,7
viewers,7
##war,7
##sar,7
indian,7
romantic,7
paris,7
op,7
##hel,7
ass,7
##ron,7
1942,7
gain,7
os,7
trial,7
aid,7
alliance,7
appearances,7
comic,7
letter,7
dry,7
contain,7
soft,7
1998,7
look,7
break,7
1993,7
##head,7
larger,7
assault,7
##ms,7
leaving,7
##lin,7
commented,7
##rum,7
gay,7
jay,7
platform,7
tone,7
##fa,7
controversial,7
jewish,7
administration,7
sequel,7
arena,7
18th,7
harbour,7
64,7
method,7
threatened,7
disney,7
fired,7
landing,7
discovered,7
theory,7
lasted,7
happy,7
sl,7
inner,7
tried,7
incident,7
counter,7
allow,7
fund,7
instruction,7
month,7
date,7
rainfall,7
likely,7
commonly,7
lap,7
##llo,7
circuit,7
clark,7
admitted,7
fi,7
soul,7
influential,7
##shi,7
nature,7
plants,7
principles,7
notes,7
philadelphia,7
deal,7
abbot,7
positive,7
believe,7
iron,7
1948,7
corporation,7
connection,7
1960,7
600,7
1915,7
versions,7
supporting,7
slightly,7
potential,7
explained,7
stevens,7
illinois,7
simon,7
fields,7
gene,7
bed,7
##ani,7
harrison,7
defensive,7
joe,7
1976,7
ib,7
##ren,7
outstanding,7
88,7
library,7
focus,7
##gne,7
past,7
debuted,7
mind,7
tennis,7
##lp,7
items,7
dead,7
setting,7
##rie,7
values,7
rear,7
00,7
##out,7
minnesota,7
cart,7
assistant,7
palace,7
alexander,7
journal,7
oak,7
##bed,7
acid,7
et,7
formal,7
abandoned,7
praised,7
attempts,7
offensive,7
##cy,7
ti,7
entering,7
fast,7
res,7
pitch,7
sing,7
massive,7
visited,7
drums,7
turned,7
circle,7
##one,7
sale,7
vol,7
ale,7
occupied,7
##tian,7
##yo,7
##dra,7
remain,7
asian,7
sculpture,7
worst,7
twice,7
##sa,7
##du,7
fitted,7
junior,7
cricket,7
convention,7
selection,7
limits,7
lin,7
results,7
difference,7
##aw,7
planet,7
mario,7
56,7
launched,7
got,7
97,7
painted,7
falling,7
ju,7
purpose,7
raf,7
kind,7
attributed,7
##har,7
##ock,7
hair,7
becomes,7
##nes,7
carrying,7
step,7
fans,7
kent,7
congress,7
directly,7
##ik,7
##lan,7
po,7
massachusetts,7
rate,7
800,7
giving,7
sy,7
probably,7
attended,7
##ore,7
delegation,7
##kha,7
amp,7
##io,7
expanded,7
##ah,7
alongside,7
albums,7
yellow,7
marriage,7
##ir,7
##lli,7
continues,7
ya,7
cabinet,7
07,7
ncaa,7
ar,7
71,7
organ,7
1961,7
jean,7
##it,7
expected,7
ye,7
craig,7
roy,7
##fl,7
##rh,7
##ay,7
spain,7
##ria,7
christ,7
basketball,7
controlled,7
notable,7
82,7
makes,7
##house,7
basis,7
estate,7
loud,7
##ry,7
nothing,7
feature,7
##bir,7
##rk,7
##cos,7
height,7
entrance,7
##sm,7
##au,7
criminal,7
disaster,7
winner,7
grossing,7
hay,7
passenger,7
leadership,7
70,7
asked,7
##nam,7
houston,7
karl,7
secure,6
colony,6
##mar,6
veteran,6
matches,6
finals,6
##cr,6
jet,6
script,6
names,6
ant,6
authors,6
claims,6
carey,6
weakened,6
extra,6
##lla,6
quad,6
license,6
effective,6
religion,6
theme,6
bois,6
russia,6
china,6
activity,6
usual,6
pa,6
recent,6
primarily,6
getting,6
1970s,6
shape,6
aids,6
1970,6
01,6
lawrence,6
creation,6
55,6
##bler,6
fan,6
hell,6
spend,6
##ford,6
concern,6
growth,6
efficient,6
11th,6
rated,6
toy,6
anniversary,6
shell,6
outer,6
shooting,6
captured,6
louis,6
detailed,6
widely,6
sri,6
66,6
ghost,6
##able,6
##uro,6
individuals,6
1920,6
##ization,6
tribute,6
gi,6
session,6
specimens,6
casino,6
constructed,6
broad,6
economy,6
jobs,6
casualties,6
metro,6
ze,6
##bes,6
budget,6
residents,6
hunter,6
dark,6
acts,6
victor,6
1827,6
statute,6
meant,6
hearts,6
fantasy,6
##ssi,6
mcc,6
drive,6
extreme,6
permanent,6
seattle,6
proved,6
soundtrack,6
southwest,6
1955,6
remainder,6
##ip,6
adam,6
oil,6
coins,6
oregon,6
weekly,6
decline,6
proposal,6
##vin,6
money,6
com,6
##mut,6
prison,6
senior,6
represent,6
worldwide,6
edmonton,6
chairman,6
electronic,6
orbit,6
aboard,6
successfully,6
mine,6
ports,6
ign,6
nintendo,6
console,6
consecutive,6
fled,6
##il,6
aged,6
read,6
prominent,6
##less,6
##bury,6
sides,6
1927,6
##ld,6
travelled,6
arcade,6
playstation,6
presence,6
##ang,6
##lf,6
languages,6
word,6
dress,6
52,6
closed,6
respectively,6
deck,6
thick,6
threat,6
christian,6
1926,6
##vic,6
##nik,6
ryan,6
mini,6
rings,6
applied,6
piece,6
broken,6
##mat,6
frost,6
hum,6
##ave,6
##tus,6
##nd,6
95,6
mis,6
rolling,6
helped,6
parks,6
matt,6
accident,6
figure,6
##per,6
poison,6
laps,6
ref,6
memorial,6
claim,6
author,6
knew,6
sad,6
##are,6
yo,6
destruction,6
hermit,6
adapted,6
pennsylvania,6
hollywood,6
##vi,6
##kes,6
regarding,6
rat,6
kim,6
swift,6
relative,6
classic,6
favorite,6
kept,6
today,6
ru,6
hostile,6
limit,6
firm,6
##ow,6
pin,6
officially,6
##by,6
stewart,6
exist,6
beijing,6
##pe,6
##ster,6
##ol,6
hood,6
arrested,6
##ide,6
jan,6
editor,6
##ite,6
ob,6
##ena,6
pilot,6
value,6
coin,6
1897,6
reduced,6
mars,6
easy,6
84,6
zone,6
##ua,6
##omi,6
kat,6
nuclear,6
actress,6
contributions,6
broadcasting,6
inc,6
columbia,6
holds,6
exhibition,6
influenced,6
howard,6
hi,6
##tt,6
mexico,6
laid,6
relatively,6
##sch,6
sunday,6
stood,6
##po,6
disease,6
gate,6
##va,6
hard,6
trip,6
gallery,6
revolutionary,6
includes,6
threats,6
motor,6
programmes,6
median,6
recognize,6
liberal,6
die,6
label,6
1930,6
heard,6
surrounded,6
multi,6
panel,6
page,6
dating,6
##ze,6
ch,6
##oh,6
gall,6
1971,6
composed,6
ps,6
earl,6
##ara,6
##pro,6
##van,6
reservoir,6
conservation,6
##bro,6
typically,6
circumstances,6
ok,6
adventures,6
130,6
sites,6
problems,6
philip,6
containing,6
cover,6
sand,6
environment,6
bio,6
arab,6
##ino,6
hs,6
males,6
participate,6
1946,6
ja,6
farm,6
headed,6
netherlands,6
vertical,6
acquire,6
##han,6
##hal,6
commanded,6
lopez,6
##gan,6
shi,6
##mb,6
inland,6
intensity,6
heading,6
macdonald,6
##well,6
toronto,6
1982,6
divided,6
steps,6
crisis,6
chaos,6
##rin,6
transit,6
cavalry,6
1935,6
syndrome,6
##marine,6
scout,6
jo,6
##uri,6
shark,6
escape,6
##des,6
##be,6
##sd,6
1952,6
beaten,6
contact,6
alam,6
braves,6
discipline,6
##eld,6
##oo,6
angle,6
senate,6
##ana,6
passing,6
covered,6
vocal,6
mass,6
store,6
independence,6
lb,6
composer,6
shots,6
motion,6
commodore,6
##che,6
##11,6
cited,6
domestic,6
receive,6
rev,6
takes,6
expressed,6
1972,6
hms,6
##sk,6
reserved,6
pot,6
formerly,6
newspaper,6
roads,6
colors,6
colour,6
finding,6
benjamin,6
##ju,6
switzerland,6
closer,6
indiana,6
crops,6
##je,6
##ent,6
worth,6
payton,6
sq,6
##ship,6
chicago,6
carolina,6
concerts,6
##hus,6
clean,6
vest,6
touch,6
ram,6
creek,6
roughly,6
attacked,6
younger,6
1919,6
institution,6
distinguished,6
##eri,6
income,6
harm,6
illness,6
flat,6
contest,6
clade,6
hop,6
wo,6
turns,6
speak,6
val,6
oakland,6
raiders,6
nfl,6
1880,6
##gy,6
principal,6
stu,6
referred,6
mediterranean,6
specific,6
##eno,6
mw,6
##up,6
jr,6
mor,6
ang,6
vote,6
wooden,6
origin,6
effect,6
dam,6
meet,6
##mba,6
##rd,6
##kh,6
tin,6
airport,6
##vara,6
judah,6
##ak,6
1981,6
##ero,6
##ina,6
dot,6
sell,6
wit,6
##wari,6
chose,5
scheme,5
code,5
falls,5
opposed,5
rein,5
frontier,5
mile,5
##uis,5
##eb,5
catch,5
capable,5
dj,5
occasionally,5
##nh,5
manufactured,5
helicopter,5
promote,5
ethnic,5
prisoners,5
wars,5
raids,5
democracy,5
northeast,5
isaac,5
waste,5
internal,5
por,5
##ac,5
zoo,5
93,5
1964,5
ins,5
##ors,5
seasons,5
roles,5
memory,5
investment,5
guatemala,5
resulting,5
alone,5
facilities,5
approved,5
older,5
shared,5
ends,5
##10,5
rise,5
breeding,5
maintain,5
referee,5
pick,5
aftermath,5
poe,5
follow,5
resources,5
mess,5
##ard,5
wil,5
promoted,5
surrounding,5
saturn,5
abundance,5
quantity,5
wins,5
beyond,5
uranium,5
paintings,5
lac,5
steel,5
qui,5
maya,5
approval,5
repeal,5
ec,5
##ball,5
##wood,5
heads,5
lighting,5
filmed,5
heavily,5
torpedoes,5
1969,5
designated,5
commentators,5
##eta,5
none,5
existed,5
nationalist,5
travel,5
##ep,5
athlete,5
dun,5
description,5
aired,5
slight,5
dh,5
